state,repVotes,demVotes,LibertarianVotes,greeVotes,otherVotes
Alabama,849624,1441170,25176,0,7312
Alaska,153778,189951,8897,0,6904
Arizona,1672143,1661686,51465,1557,475
Arkansas,423932,760647,13133,2980,18377
California,11110250,6006429,187895,81029,115278
Colorado,1804352,1364607,52460,8986,26575
Connecticut,1080831,714717,20230,7538,541
Delaware,296268,200603,5000,2139,336
Florida,5297045,5668731,70324,14721,16635
Georgia,2473633,2461854,62229,1013,1231
Hawaii,366130,196864,5539,3822,2114
Idaho,287021,554119,16404,407,10063
Illinois,3471915,2446891,66544,30494,17900
Indiana,1242416,1729519,59232,989,965
Iowa,759061,897672,19637,3075,11426
Kansas,570323,771406,30574,0,0
Kentucky,772474,1326646,26234,716,10698
Louisiana,856034,1255776,21645,0,14607
Maine,435072,360737,14152,8230,1270
Maryland,1985023,976414,33488,15799,26306
Massachusetts,2382202,1167202,47013,18658,16327
Michigan,2804040,2649852,60381,13718,11311
Minnesota,1717077,1484065,34976,10033,31020
Mississippi,539398,756764,8026,1498,8073
Missouri,1253014,1718736,41205,8283,4724
Montana,244786,343602,15252,0,34
Nebraska,374583,556846,20283,0,4671
Nevada,703486,669890,14783,0,17217
New Hampshire,424937,365660,13236,217,2155
New Jersey,2608335,1883274,31677,14202,11865
New Mexico,501614,401894,12585,4426,3446
New York,5230985,3244798,60234,32753,26056
North Carolina,2684292,2758775,48678,12195,20864
North Dakota,114902,235595,9393,0,1929
Ohio,2679165,3154834,67569,18812,1822
Oklahoma,503890,1020280,24731,0,11798
Oregon,1340383,958448,41582,11831,22077
Pennsylvania,3458229,3377674,79380,0,0
Rhode Island,307486,199922,5053,0,5296
South Carolina,1091541,1385103,27916,6907,1862
South Dakota,150471,261043,11095,0,0
Tennessee,1143711,1852475,29877,4545,23243
Texas,5259126,5890347,126243,33396,5944
Utah,560282,865140,38447,5053,19367
Vermont,242820,112704,3608,1310,6986
Virginia,2413568,1962430,64761,0,19765
Washington,2369612,1584651,80500,18289,34579
West Virginia,235984,545382,10687,2599,79
Wisconsin,1630866,1610184,38491,1089,17411
Wyoming,73491,193559,5768,0,3947
